test_name,tcp_flavor,time_iter,bits_per_second,rtt_ms,cwnd_size_bytes
amsterdam_lan_noload,bbr,0,137211288.1297799,67.32,4590160
amsterdam_lan_noload,bbr,1,318773165.11524534,67.222,6576816
amsterdam_lan_noload,bbr,2,340928694.661625,67.229,6730304
amsterdam_lan_noload,bbr,3,328194780.9004003,67.321,6513104
amsterdam_lan_noload,bbr,4,324894497.846556,67.529,6576816
amsterdam_lan_noload,bbr,5,336773414.8250256,67.248,6472560
amsterdam_lan_noload,bbr,6,334511475.4273186,67.275,6382784
amsterdam_lan_noload,bbr,7,322792596.7833966,67.751,6556544
amsterdam_lan_noload,bbr,8,343940841.1820617,67.301,6466768
amsterdam_lan_noload,bbr,9,331496863.050559,67.307,6539168
amsterdam_lan_noload,bbr,10,248406677.34127977,67.326,6872208
amsterdam_lan_noload,bbr,11,329254178.880251,67.296,6712928
amsterdam_lan_noload,bbr,12,336729617.2625022,67.222,6443600
amsterdam_lan_noload,bbr,13,324909750.6549911,67.891,6605776
amsterdam_lan_noload,bbr,14,339901430.9817644,67.315,6553648
amsterdam_lan_noload,bbr,15,329110683.4240655,67.212,6521792
amsterdam_lan_noload,bbr,16,332394589.9231856,67.19,6750576
amsterdam_lan_noload,bbr,17,337803616.45372236,67.318,6539168
amsterdam_lan_noload,bbr,18,323975302.46265656,67.23,6426224
amsterdam_lan_noload,bbr,19,336472764.51576275,67.267,6432016
amsterdam_lan_noload,bbr,20,329248585.80559,67.236,6695552
amsterdam_lan_noload,bbr,21,336596266.53375113,67.313,6458080
amsterdam_lan_noload,bbr,22,324162991.9086378,67.22,6571024
amsterdam_lan_noload,bbr,23,334479037.2094823,67.281,6484144
amsterdam_lan_noload,bbr,24,335541960.0165986,67.286,6556544
amsterdam_lan_noload,bbr,25,322839062.864687,67.264,6423328
amsterdam_lan_noload,bbr,26,249551865.84080377,67.249,6744784
amsterdam_lan_noload,bbr,27,329155748.90312874,67.191,6571024
amsterdam_lan_noload,bbr,28,336691552.15787554,67.314,6478352
amsterdam_lan_noload,bbr,29,335543320.00298023,67.322,6678176
amsterdam_lan_noload,bbr,30,330298801.8960706,67.194,6715824
amsterdam_lan_noload,bbr,31,327153762.01162285,67.194,6536272
amsterdam_lan_noload,bbr,32,336741403.9316909,67.299,6475456
amsterdam_lan_noload,bbr,33,327159631.54695827,67.257,6460976
amsterdam_lan_noload,bbr,34,325054646.2971215,67.334,6527584
